"submissionID","submitterID","marker","referenceDB","referenceDB_simplified","pipeline","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other"
"submitter75_12S_12SMifishncbint_PacMAN","submitter75","12S","12SMifishncbint","12SMifishncbint","PacMAN","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA
"submitter75_16S_16SAllFishDez2023_PacMAN","submitter75","16S","16SAllFishDez2023","16SAllFishDez2023","PacMAN","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA
"submitter75_16S_16S-ncbi_PacMAN","submitter75","16S","16S-ncbi","NCBI","PacMAN","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA
"submitter75_COI_COINCBInt_PacMAN","submitter75","COI","COINCBInt","COINCBInt","PacMAN","dada2","ASV","sequence composition","rdp",0.8,NA,NA,NA,NA
"submitter75_12S_12SCRABSCustom_MetaWorksASV","submitter75","12S","12SCRABSCustom","NCBI","MetaWorksASV","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_12S_12SAllFishDez2023_MetaWorksASV","submitter75","12S","12SAllFishDez2023","12SAllFishDez2023","MetaWorksASV","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_12S_TerrimporterFish_MetaWorksASV","submitter75","12S","TerrimporterFish","TerrimporterFish","MetaWorksASV","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_12S_TerrimporterVert_MetaWorksASV","submitter75","12S","TerrimporterVert","TerrimporterVert","MetaWorksASV","vsearch","ASV","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_12S_12SCRABSCustom_MetaWorksOTU","submitter75","12S","12SCRABSCustom","NCBI","MetaWorksOTU","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_12S_12SAllFishDez2023_MetaWorksOTU","submitter75","12S","12SAllFishDez2023","12SAllFishDez2023","MetaWorksOTU","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA
"submitter75_12S_TerrimporterFish_MetaWorksOTU","submitter75","12S","TerrimporterFish","TerrimporterFish","MetaWorksOTU","vsearch","OTU","sequence composition","rdp",NA,NA,NA,NA,NA
