"submissionID","submitterID","marker","referenceDB","pipeline","sampleID","specnumber","shannon","simpson","hillq0","hillq1","hillq15","richness","TP_residents","TP_all","FN","FP","sensitivity_all","sensitivity_residents","fmeasure_all","fmeasure_resident"
"AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","A",24,1.91718513335907,0.786400900914073,24,6.80178537834322,5.3211906764398,24,17,17,43,7,0.283333333333333,0.283333333333333,0.404761904761905,0.404761904761905
"AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","B",14,1.77624107641593,0.763288159797018,14,5.90760838198007,4.8044769158044,14,10,10,50,4,0.166666666666667,0.166666666666667,0.27027027027027,0.27027027027027
"AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","C",18,1.70123621772856,0.692924839506173,18,5.48071856699918,3.92774815187755,18,12,12,48,6,0.2,0.2,0.307692307692308,0.307692307692308
"AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","A",25,2.50649353817534,0.876100902161464,25,12.2618588509053,9.55701510172534,25,18,20,42,5,0.32258064516129,0.3,0.459770114942529,0.433734939759036
"AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","B",22,2.46024228482791,0.869176790820213,22,11.7076477818058,9.16117180022586,22,17,19,43,3,0.306451612903226,0.283333333333333,0.452380952380952,0.425
"AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","C",21,2.18516174685797,0.83316321148931,21,8.8920867041452,6.95224481962062,21,15,17,45,4,0.274193548387097,0.25,0.409638554216867,0.379746835443038
"aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","A",19,2.15342339882753,0.828630513703368,19,8.6142981546129,6.82492967529513,19,8,8,52,11,0.133333333333333,0.133333333333333,0.20253164556962,0.20253164556962
"aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","B",21,2.1875717195238,0.827005313516415,21,8.91354223327938,6.89067043507324,21,10,10,50,11,0.166666666666667,0.166666666666667,0.246913580246914,0.246913580246914
"aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","C",21,2.20015129160209,0.831364809779494,21,9.02637901147799,7.00998117354252,21,10,10,50,11,0.166666666666667,0.166666666666667,0.246913580246914,0.246913580246914
"aurelieBonin_16S_16SAllFishDez2023_OBITools","aurelieBonin","16S","16SAllFishDez2023","OBITools","A",9,1.41664443833026,0.707331893059681,9,4.12326134301096,3.63976438539113,9,3,3,57,6,0.05,0.05,0.0869565217391304,0.0869565217391304
"aurelieBonin_16S_16SAllFishDez2023_OBITools","aurelieBonin","16S","16SAllFishDez2023","OBITools","B",9,1.44089755475547,0.709774607254247,9,4.22448582321309,3.70404442768435,9,3,3,57,6,0.05,0.05,0.0869565217391304,0.0869565217391304
"aurelieBonin_16S_16SAllFishDez2023_OBITools","aurelieBonin","16S","16SAllFishDez2023","OBITools","C",9,1.34915473795399,0.694205836489196,9,3.8541663729158,3.45982712677207,9,3,3,57,6,0.05,0.05,0.0869565217391304,0.0869565217391304
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","A",12,1.28868002793001,0.636713562344331,12,3.6279945423207,3.02540276709157,12,0,0,60,12,0,0,0,0
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","B",13,1.23905100309197,0.577501588870842,13,3.45233565383149,2.70204246345256,13,0,0,60,13,0,0,0,0
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","C",12,1.21780649003783,0.586250952131773,12,3.37976604633217,2.72645640399651,12,0,0,60,12,0,0,0,0
"chrisHempel_COI_BOLD_ApscaleModified","chrisHempel","COI","BOLD","ApscaleModified","A",18,1.69489498420761,0.733240553214255,18,5.44607401140353,4.27278543183076,18,11,11,49,7,0.183333333333333,0.183333333333333,0.282051282051282,0.282051282051282
"chrisHempel_COI_BOLD_ApscaleModified","chrisHempel","COI","BOLD","ApscaleModified","B",15,1.62838639538467,0.701945902689313,15,5.09564572369233,3.91898068052289,15,8,8,52,7,0.133333333333333,0.133333333333333,0.213333333333333,0.213333333333333
"chrisHempel_COI_BOLD_ApscaleModified","chrisHempel","COI","BOLD","ApscaleModified","C",15,1.41787832575048,0.603747804868717,15,4.12835212339143,2.99410390350492,15,8,8,52,7,0.133333333333333,0.133333333333333,0.213333333333333,0.213333333333333
"chrisHempel_16S_16SAllFishDez2023_ApscaleModified","chrisHempel","16S","16SAllFishDez2023","ApscaleModified","A",14,1.90467146485631,0.806552953462922,14,6.71720042867555,5.687777894465,14,0,0,60,14,0,0,0,0
"chrisHempel_16S_16SAllFishDez2023_ApscaleModified","chrisHempel","16S","16SAllFishDez2023","ApscaleModified","B",12,1.85761331832385,0.790362292355509,12,6.40842363764119,5.38678390522976,12,0,0,60,12,0,0,0,0
"chrisHempel_16S_16SAllFishDez2023_ApscaleModified","chrisHempel","16S","16SAllFishDez2023","ApscaleModified","C",11,1.76203825703264,0.80061593048606,11,5.82429671786744,5.29026777142029,11,0,0,60,11,0,0,0,0
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","A",15,1.60561728822732,0.710424552885861,15,4.98093332545853,3.94691653922364,15,12,13,48,2,0.213114754098361,0.2,0.342105263157895,0.324324324324324
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","B",17,1.58070765257683,0.659977823831569,17,4.85839264912783,3.52734883984839,17,13,14,47,3,0.229508196721311,0.216666666666667,0.358974358974359,0.342105263157895
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","C",15,1.46561814036243,0.645496344869801,15,4.33021909638988,3.29923367756132,15,12,13,48,2,0.213114754098361,0.2,0.342105263157895,0.324324324324324
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","A",1,0,0,1,1,1,1,0,0,60,1,0,0,0,0
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","B",0,0,1,0,1,Inf,0,0,0,60,0,0,0,0,0
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","C",1,0,0,1,1,1,1,0,0,60,1,0,0,0,0
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","A",25,2.24835713204668,0.84800626606206,25,9.47216153596582,7.50779350787225,25,8,8,52,17,0.133333333333333,0.133333333333333,0.188235294117647,0.188235294117647
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","B",25,2.19932674155116,0.833482439041072,25,9.018939377801,6.98340096361698,25,10,10,50,15,0.166666666666667,0.166666666666667,0.235294117647059,0.235294117647059
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","C",26,2.13050544413817,0.829313654922926,26,8.4191211316135,6.66532770148736,26,11,11,49,15,0.183333333333333,0.183333333333333,0.255813953488372,0.255813953488372
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","A",28,2.08934574637722,0.809720809645701,28,8.07962730925671,6.12669223778368,28,18,18,42,10,0.3,0.3,0.409090909090909,0.409090909090909
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","B",17,1.92351475424938,0.780873257075725,17,6.84497464280585,5.34600140388881,17,10,10,50,7,0.166666666666667,0.166666666666667,0.25974025974026,0.25974025974026
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","C",22,1.8246155756423,0.699273848474827,22,6.20041097188597,4.1640151042575,22,14,14,46,8,0.233333333333333,0.233333333333333,0.341463414634146,0.341463414634146
"emmaStrand_COI_COIAllFishDez2023_nf-coreAmpliseq","emmaStrand","COI","COIAllFishDez2023","nf-coreAmpliseq","A",24,1.96968214632063,0.769478886315408,24,7.16839762463303,5.23669889410264,24,18,18,42,6,0.3,0.3,0.428571428571429,0.428571428571429
"emmaStrand_COI_COIAllFishDez2023_nf-coreAmpliseq","emmaStrand","COI","COIAllFishDez2023","nf-coreAmpliseq","B",14,1.77330212137737,0.747669741546299,14,5.89027167493999,4.63575908788931,14,11,11,49,3,0.183333333333333,0.183333333333333,0.297297297297297,0.297297297297297
"emmaStrand_COI_COIAllFishDez2023_nf-coreAmpliseq","emmaStrand","COI","COIAllFishDez2023","nf-coreAmpliseq","C",17,2.01641103273801,0.771054624121147,17,7.51131862363437,5.46531320873228,17,14,14,46,3,0.233333333333333,0.233333333333333,0.363636363636364,0.363636363636364
"emmaStrand_12S_12SAllFishDez2023_nf-coreAmpliseq","emmaStrand","12S","12SAllFishDez2023","nf-coreAmpliseq","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emmaStrand_12S_12SAllFishDez2023_nf-coreAmpliseq","emmaStrand","12S","12SAllFishDez2023","nf-coreAmpliseq","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"emmaStrand_12S_12SAllFishDez2023_nf-coreAmpliseq","emmaStrand","12S","12SAllFishDez2023","nf-coreAmpliseq","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","A",28,2.49649446164476,0.869782313322154,28,12.1398625275811,9.23368182539843,28,17,19,43,9,0.306451612903226,0.283333333333333,0.422222222222222,0.395348837209302
"EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","B",29,2.53394694564201,0.875878217432673,29,12.6031520534235,9.61501073549696,29,19,20,41,9,0.327868852459016,0.316666666666667,0.444444444444444,0.431818181818182
"EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","C",26,2.46591560921547,0.876977731864096,26,11.7742578370502,9.39477190225413,26,19,20,41,6,0.327868852459016,0.316666666666667,0.459770114942529,0.447058823529412
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","A",18,2.01245443732311,0.803584337170889,18,7.48165809086596,5.87595657181602,18,14,14,46,4,0.233333333333333,0.233333333333333,0.358974358974359,0.358974358974359
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","B",15,1.89827978731695,0.777913909574093,15,6.67440316841332,5.25868291157206,15,11,11,49,4,0.183333333333333,0.183333333333333,0.293333333333333,0.293333333333333
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","C",18,1.76789260339905,0.68971438368994,18,5.85849417239463,4.00784802354464,18,13,13,47,5,0.216666666666667,0.216666666666667,0.333333333333333,0.333333333333333
"EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","A",6,1.37986581376564,0.695520833333333,6,3.97436828619774,3.53919108107332,6,3,4,57,2,0.0655737704918033,0.05,0.119402985074627,0.0923076923076923
"EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","B",6,1.56292585366342,0.767928004535147,6,4.7727652488212,4.49018153614312,6,3,4,57,2,0.0655737704918033,0.05,0.119402985074627,0.0923076923076923
"EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","C",7,1.51551770893676,0.728120713305898,7,4.55177701259904,4.0076923194075,7,4,5,56,2,0.0819672131147541,0.0666666666666667,0.147058823529412,0.121212121212121
"EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","A",32,2.54751398381488,0.863516353011539,32,12.775304658321,9.15321953648473,32,25,26,35,6,0.426229508196721,0.416666666666667,0.559139784946237,0.549450549450549
"EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","B",32,2.56047865008735,0.870052855445049,32,12.9420105277036,9.46500117057018,32,25,26,35,6,0.426229508196721,0.416666666666667,0.559139784946237,0.549450549450549
